id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,name,album,release,genre
3u8iWXUIErKKSgk8rYYxCU,0.506,0.623,9,-7.803,0,0.0323,0.554,0.535,0.309,0.364,117.026,audio_features,spotify:track:3u8iWXUIErKKSgk8rYYxCU,https://api.spotify.com/v1/tracks/3u8iWXUIErKKSgk8rYYxCU,https://api.spotify.com/v1/audio-analysis/3u8iWXUIErKKSgk8rYYxCU,270847,3,Boogarins,Desandar,Sombrou Dúvida,2019-05-10,indie
6ennJn14tXqBheVKNtJajL,0.367,0.487,11,-8.408,0,0.0321,0.752,0.0191,0.231,0.422,84.136,audio_features,spotify:track:6ennJn14tXqBheVKNtJajL,https://api.spotify.com/v1/tracks/6ennJn14tXqBheVKNtJajL,https://api.spotify.com/v1/audio-analysis/6ennJn14tXqBheVKNtJajL,280658,4,Boogarins,Te Quero Longe,Sombrou Dúvida,2019-05-10,indie
2YGhjJ5GSQjLVriUt0Ay4f,0.414,0.443,5,-10.456,0,0.128,0.422,1.4e-06,0.142,0.334,94.108,audio_features,spotify:track:2YGhjJ5GSQjLVriUt0Ay4f,https://api.spotify.com/v1/tracks/2YGhjJ5GSQjLVriUt0Ay4f,https://api.spotify.com/v1/audio-analysis/2YGhjJ5GSQjLVriUt0Ay4f,253372,4,Boogarins,Passeio,Sombrou Dúvida,2019-05-10,indie
64GOKoATzNgnMKT4wlSgQ8,0.578,0.722,9,-8.319,0,0.0386,0.493,0.0742,0.132,0.38,118.033,audio_features,spotify:track:64GOKoATzNgnMKT4wlSgQ8,https://api.spotify.com/v1/tracks/64GOKoATzNgnMKT4wlSgQ8,https://api.spotify.com/v1/audio-analysis/64GOKoATzNgnMKT4wlSgQ8,298009,4,Boogarins,As Chances,Sombrou Dúvida,2019-05-10,indie
6WpBAh7yJGLtpVos7lhXwe,0.718,0.677,2,-5.839,1,0.0511,0.295,3.53e-06,0.367,0.609,117.013,audio_features,spotify:track:6WpBAh7yJGLtpVos7lhXwe,https://api.spotify.com/v1/tracks/6WpBAh7yJGLtpVos7lhXwe,https://api.spotify.com/v1/audio-analysis/6WpBAh7yJGLtpVos7lhXwe,262094,4,Boogarins,Sombra ou Dúvida,Sombrou Dúvida,2019-05-10,indie
18jxQqs1uGNwrtEjq3toGD,0.558,0.773,4,-6.955,0,0.106,0.685,0.000178,0.441,0.496,126.065,audio_features,spotify:track:18jxQqs1uGNwrtEjq3toGD,https://api.spotify.com/v1/tracks/18jxQqs1uGNwrtEjq3toGD,https://api.spotify.com/v1/audio-analysis/18jxQqs1uGNwrtEjq3toGD,253733,4,Boogarins,Invenção,Sombrou Dúvida,2019-05-10,indie
6F0tlJdeJTvzzeGkpD0SMK,0.574,0.804,2,-6.422,1,0.0434,0.0287,0.0299,0.27,0.204,122.014,audio_features,spotify:track:6F0tlJdeJTvzzeGkpD0SMK,https://api.spotify.com/v1/tracks/6F0tlJdeJTvzzeGkpD0SMK,https://api.spotify.com/v1/audio-analysis/6F0tlJdeJTvzzeGkpD0SMK,208363,4,Boogarins,Dislexia ou Transe,Sombrou Dúvida,2019-05-10,indie
1wcevKb5qwZg5Pgq1Ziido,0.378,0.704,2,-8.456,1,0.127,0.324,0.0228,0.375,0.257,122.353,audio_features,spotify:track:1wcevKb5qwZg5Pgq1Ziido,https://api.spotify.com/v1/tracks/1wcevKb5qwZg5Pgq1Ziido,https://api.spotify.com/v1/audio-analysis/1wcevKb5qwZg5Pgq1Ziido,243930,4,Boogarins,A Tradição,Sombrou Dúvida,2019-05-10,indie
4HQNlBd70IBMHE1mkjPO0G,0.114,0.769,7,-6.516,1,0.0475,0.156,0.008,0.395,0.224,68.168,audio_features,spotify:track:4HQNlBd70IBMHE1mkjPO0G,https://api.spotify.com/v1/tracks/4HQNlBd70IBMHE1mkjPO0G,https://api.spotify.com/v1/audio-analysis/4HQNlBd70IBMHE1mkjPO0G,220188,4,Boogarins,Nós,Sombrou Dúvida,2019-05-10,indie
0CZ4xTsqMagycL0GHDjFcJ,0.635,0.654,2,-7.183,1,0.0319,0.0308,0.0525,0.108,0.546,124.896,audio_features,spotify:track:0CZ4xTsqMagycL0GHDjFcJ,https://api.spotify.com/v1/tracks/0CZ4xTsqMagycL0GHDjFcJ,https://api.spotify.com/v1/audio-analysis/0CZ4xTsqMagycL0GHDjFcJ,174791,4,Boogarins,Tardança,Sombrou Dúvida,2019-05-10,indie
